MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,YrBltAndRemod,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice
20,RL,16.6359201,9.168569627,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,3.040151717,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,23.90486733,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,120.069115,868.8340777,GasA,Ex,Y,SBrkr,7.16762854,0,0,10.03778942,0,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,40.81128155,8.757200318,0,0,0,0,None,None,None,0,8,2007,New,Partial,4013,49.08289681,12.72586026,2,43.75669467,0,0,1,1,1,12.54076115
20,RL,14.74809688,9.192854234,Pave,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,3.040151717,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,20.17149203,TA,TA,CBlock,TA,TA,No,BLQ,195.438554,Unf,0,64.14302185,739.7707134,GasA,TA,Y,SBrkr,6.998557739,0,0,9.718537975,0.994480501,0,1,1.070980668,2,0.717364158,TA,2.054106925,Typ,0.925291399,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,23.14454388,15.81156988,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,3920,45.83281603,13.53271469,2.5,69.24149098,0,0,1,1,1,11.96400745
45,RM,12.08542448,8.626587697,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,4.247350355,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,84.87445545,508.75643,GasA,Ex,Y,FuseA,6.629644205,0,0,9.038828374,0,0,1,0,2,0.717364158,TA,2.054106925,Typ,0,None,Detchd,1991,Unf,2,576,TA,TA,Y,17.93212085,16.74305002,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,3930,39.23911307,11.23161034,1,38.66660527,0,0,1,1,0,11.79056478
20,RL,14.74809688,9.221167027,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,3.868729739,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,18.68424294,TA,TA,CBlock,TA,TA,No,ALQ,163.0354804,Unf,0,56.92800624,604.1313608,GasA,Ex,Y,SBrkr,6.785436618,0,0,9.323077884,0.994480501,0,1,0,2,0.717364158,TA,2.054106925,Typ,0.925291399,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,7.132708395,3,2010,WD,Normal,3940,42.02851838,12.88550123,2,0,0,0,1,1,1,11.9117083
90,RL,14.63667015,9.181240479,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,3.040151717,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,SBrkr,7.03099734,0,0,9.779410421,0,0,2,0,2,1.160275588,TA,2.257835071,Typ,0,None,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,6.737313375,10,2006,WD,Normal,3934,35.36544772,12.33479882,2,0,0,0,1,0,0,11.40757606
20,RL,13.95108577,9.414086259,Pave,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,3.040151717,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,177.4803521,Unf,0,60.22594891,664.3732452,GasA,Ex,Y,SBrkr,6.885473424,0,0,9.507743431,0.994480501,0,1,1.070980668,3,0.717364158,Gd,2.257835071,Typ,0,None,Detchd,2004,Unf,2,576,TA,TA,Y,0,15.95956276,0,0,0,0,None,None,None,0,6,2008,WD,Normal,4008,43.77507499,13.18635323,2.5,28.67766302,0,0,1,1,0,11.97666577
20,RL,14.41145359,8.833326257,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.467927534,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,146.8406696,Unf,0,64.5108778,617.8706661,GasA,TA,Y,SBrkr,7.06237319,0,0,9.838458868,0,0,1,0,3,0.717364158,TA,2.257835071,Min1,0,None,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,3923,44.83042364,13.31777587,1,0,0,0,1,1,0,11.84223641
60,RL,17.60332963,9.450485478,Pave,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.040151717,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,26.39447016,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,103.2671581,688.3235047,GasA,Ex,Y,SBrkr,6.922735085,1884.744821,0,10.9025374,0,0,3,1.070980668,4,0.717364158,Gd,2.747580062,Typ,0.925291399,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,53.58068808,19.67866696,0,0,0,0,None,None,None,0,11,2006,New,Partial,4011,52.38630621,14.05770385,3.5,69.82017063,0,1,1,1,1,12.69250619
45,RM,12.86097009,8.81885809,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,3.868729739,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,72.40212533,398.5104977,GasA,Ex,Y,FuseF,6.880278073,0,0,9.498111314,0,0,1,0,3,0.717364158,Gd,2.257835071,Typ,0.925291399,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,0,16.88874716,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,3880,39.77393191,11.91267081,1,45.52844312,0,0,1,1,1,11.84510995
20,RL,14.96866683,9.081282454,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,3.040151717,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,22.98570765,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,133.0256567,1018.120789,GasA,Ex,Y,SBrkr,7.343884243,0,0,10.37591142,0,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,42.67980444,19.99764114,0,0,0,0,None,None,None,0,9,2008,WD,Normal,4004,52.60383608,13.24240859,2,62.19629484,0,0,1,1,1,12.34583894
120,RM,11.12032701,8.263586403,Pave,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,3.868729739,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,216.8359686,Unf,0,36.0754093,623.9067923,GasA,TA,Y,SBrkr,6.837668425,0,0,9.41928592,0.994480501,0,1,0,3,0.717364158,TA,2.257835071,Typ,0.925291399,TA,Attchd,1976,Unf,2,572,TA,TA,Y,29.69086472,16.58946638,0,0,0,0,None,None,None,0,6,2007,WD,Normal,3952,42.7728989,13.40511326,2,46.25561546,0,0,1,1,1,11.7745279
20,RL,14.52446121,8.918275196,Pave,None,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4.247350355,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,68.9777021,ALQ,12.33724647,36.51218497,634.8674916,GasA,Ex,Y,SBrkr,6.837668425,0,0,9.41928592,0.994480501,0,1,0,3,0.717364158,Gd,2.257835071,Typ,0.925291399,TA,Attchd,1968,Unf,1,270,TA,TA,Y,76.08345749,14.9625689,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,3969,42.9319834,13.42922392,2,81.10505474,0,0,1,1,1,11.94471437
20,RL,18.43333933,9.451515541,Pave,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.040151717,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,33.40342078,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,123.4560075,907.0304151,GasA,Ex,Y,SBrkr,7.233469853,0,0,10.16345852,0,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,11.66670821,0,0,0,0,None,None,None,0,7,2009,WD,Normal,4014,50.19886487,12.91721117,2,19.15720779,0,0,1,1,1,12.45410781
20,RL,13.23336675,8.78560039,Pave,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.868729739,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,81.60942219,Rec,11.34525334,33.83477128,546.6488316,GasA,TA,Y,SBrkr,6.680166663,0,0,9.130565939,0,0.682665815,1,0,3,0.717364158,Gd,2.054106925,Typ,0,None,Detchd,2005,Unf,2,576,TA,TA,Y,50.85512031,8.609135386,0,0,0,0,None,None,None,0,5,2010,WD,Normal,3951,40.26230755,12.95208679,1.5,52.40755305,0,0,1,1,0,11.8115549
20,RL,17.31840205,9.241555556,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.040151717,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,19.6300698,Gd,TA,PConc,Ex,TA,No,GLQ,287.7880452,Unf,0,61.60142833,979.8228807,GasA,Ex,Y,SBrkr,7.293940362,0,0,10.27954608,0.994480501,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,10.98123813,0,0,0,0,None,None,None,0,5,2010,WD,Normal,4015,51.65427399,14.6800009,3,17.73565801,0,0,1,1,1,12.63134365
20,RL,11.54270402,9.585395237,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.467927534,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,298.3423661,Unf,0,36.8374395,863.5166132,GasA,TA,Y,SBrkr,7.233469853,0,0,10.16345852,0.994480501,0,1,0,2,0.717364158,TA,2.257835071,Typ,1.756857061,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,60.52507888,25.4486296,0,0,0,0,None,None,None,0,12,2006,WD,Normal,3954,49.68982454,14.63268035,2,86.32670751,0,0,1,1,1,12.24289144
30,RM,13.23336675,8.658674904,Pave,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,3.467927534,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,64.14302185,330.9936062,GasA,Fa,N,SBrkr,6.151369971,0,0,8.191014347,0,0,1,0,1,0.717364158,Fa,1.819118684,Typ,0,None,Detchd,1920,Unf,1,240,Fa,TA,Y,18.19074061,0,11.56696421,0,0,0,None,None,None,0,5,2008,WD,Normal,3877,32.40182362,10.00118527,1,34.72393359,0,0,1,1,0,11.13460362
20,RL,14.52446121,8.95299138,Pave,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.467927534,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,106.9196077,726.2657064,GasA,Gd,Y,SBrkr,6.97917936,0,0,9.682260813,0,0,1,1.070980668,3,0.717364158,Gd,2.257835071,Typ,0,None,Attchd,1966,Unf,1,271,TA,TA,Y,0,12.62499286,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,3972,45.47375276,12.18858475,1.5,21.19209827,0,0,1,1,0,11.91405452
20,RL,16.0295114,9.204331275,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,3.040151717,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,107.2285871,729.5090561,GasA,Ex,Y,SBrkr,6.983866078,0,0,9.691028656,0,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0,None,Attchd,2007,RFn,2,484,TA,TA,Y,0,8.305501654,0,0,0,0,None,None,None,0,1,2008,WD,Normal,4014,45.56034573,12.2017622,2,12.47694291,0,0,1,1,0,12.10016198
20,RL,14.41145359,9.159350976,Pave,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.040151717,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,251.0386714,Unf,0,53.15654127,817.656164,GasA,Gd,Y,SBrkr,7.291683971,0,0,10.27520284,0,0.682665815,1,1.070980668,4,0.717364158,Gd,2.257835071,Typ,0.925291399,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,9.464222383,0,0,0,0,None,None,None,0,4,2010,WD,Normal,3918,49.77733364,14.46021819,2,14.69541855,0,0,1,1,1,12.01673252
120,RL,13.23336675,8.800833842,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,3.040151717,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,21.61544947,Ex,TA,PConc,Ex,TA,No,GLQ,276.0164445,Unf,0,55.47342133,904.3828728,GasA,Ex,Y,SBrkr,7.209769225,0,0,10.11813462,0.994480501,0,2,0,2,0.717364158,Ex,2.257835071,Typ,0.925291399,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,47.89395399,10.62200042,0,0,0,0,None,None,None,0,8,2007,WD,Normal,4010,49.92677026,14.45576877,3,51.86506505,0,0,1,1,1,12.53357982
60,RL,18.25195303,9.394126949,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.040151717,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,16.13227231,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,101.0851149,666.0087782,GasA,Ex,Y,SBrkr,6.900892482,2054.230463,0,10.96243788,0,0,3,1.070980668,4,0.717364158,Gd,2.747580062,Typ,0.925291399,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,32.26120687,8.609135386,0,0,0,0,None,None,None,0,9,2006,WD,Normal,4009,52.58671594,14.15126611,3.5,36.22958746,0,1,1,1,1,12.64109979
20,RL,18.61306425,9.187379696,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,3.040151717,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,100.0086131,655.0980061,GasA,Ex,Y,SBrkr,6.87067944,0,0,9.480327598,0,0,1,1.070980668,3,0.717364158,TA,2.257835071,Typ,0,None,Attchd,1995,Unf,2,672,TA,TA,Y,74.32845671,12.52218097,0,0,0,0,None,None,None,0,6,2009,WD,Normal,3989,43.51249472,11.88611117,1.5,76.78971312,0,0,1,1,0,11.88449592
20,RL,14.85875731,8.951617026,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.467927534,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,33.63628916,TA,TA,CBlock,TA,TA,No,Rec,286.8880125,Unf,0,21.16223276,763.4833485,GasA,Gd,Y,SBrkr,7.031738819,0,0,9.780803908,0,0.682665815,1,0,3,0.717364158,TA,2.054106925,Typ,0.925291399,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,3944,46.45393955,14.22100578,1.5,0,0,0,1,1,1,11.93819974
20,RL,14.18297346,8.879073392,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.868729739,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,195.031712,Unf,0,48.47732935,633.2245333,GasA,TA,Y,SBrkr,6.834941323,0,0,9.414251383,0.994480501,0,1,0,3,0.717364158,Gd,2.054106925,Typ,0,None,Detchd,1953,Unf,1,246,TA,TA,Y,0,11.21437856,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,3960,42.88435788,13.23127315,2,18.21590207,0,0,1,1,0,11.59911234
